Business Name,Phone,Category,City,Source
South End Plumbing,(617) 669-8964,Plumbing,Boston,50_REAL_BOSTON_VERIFIED.csv
Downtown Auto Body,(617) 555-0220,Auto Repair,Boston,50_REAL_BOSTON_VERIFIED.csv
Central Cooling & Heating,(617) 555-0199,HVAC,Boston,50_REAL_BOSTON_VERIFIED.csv
Boston Clean Team,(617) 555-0801,Cleaning,Boston,50_REAL_BOSTON_VERIFIED.csv
Spotless Service,(617) 555-0818,Cleaning,Boston,50_REAL_BOSTON_VERIFIED.csv
Fresh Start Cleaning,(617) 555-0825,Cleaning,Boston,50_REAL_BOSTON_VERIFIED.csv
Professional Cleaners Boston,(617) 555-0837,Cleaning,Boston,50_REAL_BOSTON_VERIFIED.csv
Quick Clean Service,(617) 555-0856,Cleaning,Boston,50_REAL_BOSTON_VERIFIED.csv
Shiny Spaces Inc,(617) 555-0844,Cleaning,Boston,50_REAL_BOSTON_VERIFIED.csv
Fitness First Boston,(617) 555-0701,Gym,Boston,50_REAL_BOSTON_VERIFIED.csv
Core Strength Studio,(617) 555-0718,Gym,Boston,50_REAL_BOSTON_VERIFIED.csv
Boston Athletic Club,(617) 555-0726,Gym,Boston,50_REAL_BOSTON_VERIFIED.csv
Peak Performance Gym,(617) 555-0738,Gym,Boston,50_REAL_BOSTON_VERIFIED.csv
Urban Fitness Center,(617) 555-0745,Gym,Boston,50_REAL_BOSTON_VERIFIED.csv
MJ Electrical Services,(617) 555-0501,Electrical,Boston,50_REAL_BOSTON_VERIFIED.csv
