Date,Business Name,Phone,Category,Called,Interested,Objection,Sent Example,Followed Up,Closed,Notes
2026-03-09,Neptune Oyster,617-742-3474,Restaurant,NO,,,,,, 
2026-03-09,Oleana,617-661-0505,Restaurant,NO,,,,,, 
2026-03-09,Maki Sushi,617-236-5464,Restaurant,NO,,,,,, 
2026-03-09,Shojo,617-927-8900,Restaurant,NO,,,,,, 
2026-03-09,Island Creek Oyster Bar,617-778-5818,Restaurant,NO,,,,,, 
2026-03-09,Gourmet Dumpling House,617-338-6261,Restaurant,NO,,,,,, 
2026-03-09,La Verdad,617-534-6391,Restaurant,NO,,,,,, 
2026-03-09,Myers + Chang,617-542-5200,Restaurant,NO,,,,,, 
2026-03-09,Precinct,617-426-3020,Restaurant,NO,,,,,, 
2026-03-09,Wise Sons,617-859-0701,Restaurant,NO,,,,,, 
2026-03-09,Boston Drain Cleaning,617-749-3255,Plumbing,NO,,,,,, 
2026-03-09,Copley Plumbing,617-423-0055,Plumbing,NO,,,,,, 
2026-03-09,Premier Plumbing,617-338-5500,Plumbing,NO,,,,,, 
2026-03-09,Allied Plumbing,617-242-7944,Plumbing,NO,,,,,, 
2026-03-09,Metro Plumbing,617-262-1515,Plumbing,NO,,,,,, 
2026-03-09,Anthony's Salon,617-266-1800,Hair Salon,NO,,,,,, 
2026-03-09,Voila Salon,617-739-4500,Hair Salon,NO,,,,,, 
2026-03-09,Studio West,617-424-8888,Hair Salon,NO,,,,,, 
2026-03-09,Tres Salon,617-236-9500,Hair Salon,NO,,,,,, 
2026-03-09,Rosa's Beauty,617-566-5500,Hair Salon,NO,,,,,, 
2026-03-09,Boston Heating & Cooling,617-742-8000,HVAC,NO,,,,,, 
2026-03-09,Northeast Climate Control,617-931-5000,HVAC,NO,,,,,, 
2026-03-09,Premier Climate,617-566-4000,HVAC,NO,,,,,, 
2026-03-09,Superior Comfort,617-324-5555,HVAC,NO,,,,,, 
2026-03-09,Boston Electric,617-262-3700,Electrical,NO,,,,,, 
2026-03-09,Copley Electric,617-236-9900,Electrical,NO,,,,,, 
2026-03-09,Harbor Electric,617-451-2200,Electrical,NO,,,,,, 
2026-03-09,Prime Electric,617-427-5500,Electrical,NO,,,,,, 
2026-03-09,Thinking Cup,617-426-0294,Cafe,NO,,,,,, 
